full_name,days,stars_from,stars_to,star_delta,stars_per_day,recent_per_day,accel_x,open_issues_from,open_issues_to,issue_delta,issue_ratio,resp_hours,signal
NirDiamant/Prompt_Engineering,26,7822,7866,44,2.0,1.0,0.5,8,10,2,0.0013,0.2,停滞/冷却
Lightning-AI/litgpt,25,13640,13683,43,2.0,2.5,1.25,286,293,7,0.0214,375.9,停滞/冷却
TEN-framework/ten-framework,24,11095,11141,46,2.0,1.0,0.5,236,239,3,0.0215,430.0,停滞/冷却
arc53/DocsGPT,26,18231,18286,55,1.75,0.5,0.29,108,152,44,0.0083,35.8,停滞/冷却
tailcallhq/forgecode,26,7599,7638,39,1.5,0.0,0.0,41,38,-3,0.005,33.1,停滞/冷却
EmbraceAGI/awesome-chatgpt-zh,24,11667,11716,49,1.5,0.5,0.33,2,13,11,0.0011,203.7,停滞/冷却
coroot/coroot,26,7898,7935,37,1.0,-1.0,-1.0,118,124,6,0.0156,8.1,停滞/冷却
2FastLabs/agent-squad,26,7750,7772,22,1.0,1.0,1.0,88,114,26,0.0147,70.5,停滞/冷却
bentoml/OpenLLM,24,12523,12547,24,0.75,0.5,0.67,17,17,0,0.0014,1648.9,停滞/冷却
OpenMOSS/MOSS,24,12236,12253,17,0.5,0.5,1.0,243,243,0,0.0198,276.0,停滞/冷却
tambo-ai/tambo,24,11168,11186,18,0.5,0.5,1.0,38,43,5,0.0038,7.4,停滞/冷却
ai-shifu/ChatALL,26,16491,16503,12,0.25,2.0,8.0,228,235,7,0.0142,239.4,停滞/冷却
microsoft/promptflow,24,11232,11242,10,0.25,-1.0,-4.0,68,71,3,0.0063,880.1,停滞/冷却
